game_id,genre_id
196,10
197,7
197,10
197,23
197,30
198,7
198,55
199,3
199,7
199,179
202,2
202,7
203,10
204,4
204,6
204,7
205,2
205,10
207,7
209,329
211,23
212,30
214,2
215,4
215,6
215,16
216,4
217,6
218,4
219,6
219,7
220,6
220,12
222,43
223,6
223,7
223,30
224,23
225,6
225,7
225,13
226,4
226,6
226,7
227,3
227,4
227,6
228,6
228,7
228,30
229,23
230,6
230,7
231,6
231,7
231,10
231,16
232,3
232,6
232,16
233,4
236,1
236,4
236,6
237,7
237,30
238,3
238,6
239,2
239,6
240,16
240,23
241,6
242,10
242,16
243,3
243,12
243,48
244,10
244,16
244,23
245,6
246,6
246,7
247,7
248,16
249,10
249,16
250,7
250,30
252,7
252,10
252,16
253,3
254,6
254,30
255,6
258,7
258,23
260,3
260,7
260,30
260,54
260,55
261,18
262,7
262,30
263,10
264,4
264,6
264,7
266,2
267,30
269,30
271,3
271,86
273,30
274,2
275,4
275,6
275,7
275,30
277,6
278,6
279,23
280,18
281,16
282,10
283,3
283,6
283,16
283,23
284,6
284,7
284,10
284,13
285,18
286,7
286,10
286,23
287,18
289,4
289,7
290,10
293,4
293,6
293,7
294,16
295,3
295,6
296,3
296,4
296,6
296,30
298,3
298,55
299,10
301,1
301,6
301,7
301,10
301,16
301,30
302,12
303,2
303,48
304,2
304,3
304,4
304,6
304,7
304,30
305,6
306,30
306,179
307,12
308,2
308,7
308,179
309,6
310,7
310,10
312,6
312,30
313,1
313,6
313,7
314,30
315,2
315,6
315,10
316,1
316,7
319,6
319,23
320,2
320,23
321,6
321,7
321,10
321,13
321,16
321,23
323,4
323,6
323,16
323,23
324,1
324,6
324,37
325,4
325,6
326,7
326,30
326,97
330,12
331,2
331,10
332,3
332,4
332,6
332,7
333,6
334,2
334,4
335,6
335,7
336,16
337,43
338,6
339,6
339,16
339,30
340,16
341,7
341,30
342,2
343,7
343,30
344,43
345,4
345,6
345,12
345,48
346,6
346,7
347,7
347,16
348,16
349,6
350,1
351,30
352,4
353,2
353,6
353,7
353,97
354,2
354,30
355,6
355,7
355,30
356,43
357,7
358,7
359,43
360,12
361,1
361,6
361,37
362,6
362,7
362,10
362,16
362,23
363,1
365,1
365,7
366,18
367,16
371,6
371,7
372,6
372,10
373,30
374,37
375,2
375,6
377,7
377,30
378,3
378,30
378,55
379,4
379,18
380,2
380,6
380,43
380,97
381,6
382,3
382,4
382,12
383,4
383,7
384,7
385,3
386,7
386,97
387,6
388,37
389,1
390,12
391,30
392,4
